// Output from processing 100 odd messages, when creating 1 subscriber on main thread with MaxConcurrentCalls = 3 

Microsoft.WindowsAzure.ServiceRuntime Information: 100 : Role environment . INITIALIZING
Microsoft.WindowsAzure.ServiceRuntime Information: 100 : Role environment . INITIALED RETURNED. HResult=0
Microsoft.WindowsAzure.ServiceRuntime Information: 101 : Role environment . INITIALIZED
Microsoft.WindowsAzure.ServiceRuntime Information: 200 : Role entrypoint . CALLING   OnStart(): ASBSubscriber.Worker.WorkerRole
WaWorkerHost.exe Information: 0 : Thread 5: ASBSubscriber.Worker has been started
Microsoft.WindowsAzure.ServiceRuntime Information: 202 : Role entrypoint . COMPLETED OnStart(): ASBSubscriber.Worker.WorkerRole
The thread 0x643c has exited with code 0 (0x0).
Microsoft.WindowsAzure.ServiceRuntime Information: 203 : Role entrypoint . CALLING   Run(): ASBSubscriber.Worker.WorkerRole
WaWorkerHost.exe Information: 0 : Thread 6: ASBSubscriber.Worker is running
WaWorkerHost.exe Information: 0 : Thread 6: Finished setting up subscription
WaWorkerHost.exe Information: 0 : Thread 25: Processing message with Id 0
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 1
Microsoft.WindowsAzure.ServiceRuntime Verbose: 500 : Role instance status check starting
Microsoft.WindowsAzure.ServiceRuntime Verbose: 502 : Role instance status check succeeded: Ready
WaWorkerHost.exe Information: 0 : Thread 19: Processing message with Id 2
WaWorkerHost.exe Information: 0 : Thread 25: Processing message with Id 3
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 4
WaWorkerHost.exe Information: 0 : Thread 17: Processing message with Id 5
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 6
WaWorkerHost.exe Information: 0 : Thread 25: Processing message with Id 7
WaWorkerHost.exe Information: 0 : Thread 17: Processing message with Id 8
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 9
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 10
WaWorkerHost.exe Information: 0 : Thread 19: Processing message with Id 11
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 12
WaWorkerHost.exe Information: 0 : Thread 25: Processing message with Id 13
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 14
WaWorkerHost.exe Information: 0 : Thread 25: Processing message with Id 15
WaWorkerHost.exe Information: 0 : Thread 19: Processing message with Id 16
WaWorkerHost.exe Information: 0 : Thread 17: Processing message with Id 17
WaWorkerHost.exe Information: 0 : Thread 19: Processing message with Id 18
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 19
WaWorkerHost.exe Information: 0 : Thread 27: Processing message with Id 20
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 21
WaWorkerHost.exe Information: 0 : Thread 19: Processing message with Id 22
WaWorkerHost.exe Information: 0 : Thread 17: Processing message with Id 23
WaWorkerHost.exe Information: 0 : Thread 17: Processing message with Id 24
WaWorkerHost.exe Information: 0 : Thread 25: Processing message with Id 25
WaWorkerHost.exe Information: 0 : Thread 28: Processing message with Id 26
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 27
WaWorkerHost.exe Information: 0 : Thread 28: Processing message with Id 28
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 29
WaWorkerHost.exe Information: 0 : Thread 25: Processing message with Id 30
WaWorkerHost.exe Information: 0 : Thread 19: Processing message with Id 31
WaWorkerHost.exe Information: 0 : Thread 27: Processing message with Id 32
WaWorkerHost.exe Information: 0 : Thread 28: Processing message with Id 33
WaWorkerHost.exe Information: 0 : Thread 27: Processing message with Id 34
WaWorkerHost.exe Information: 0 : Thread 28: Processing message with Id 35
WaWorkerHost.exe Information: 0 : Thread 27: Processing message with Id 36
WaWorkerHost.exe Information: 0 : Thread 28: Processing message with Id 37
WaWorkerHost.exe Information: 0 : Thread 19: Processing message with Id 38
